action_id,action_type,key,box,success,supposed_to_open,error
1,attempt,white,white,0,0,0
2,attempt,red,red,1,1,0
3,attempt,cloud,pink,0,0,0
4,attempt,grey2,pink,1,1,0
5,attempt,green3,white,0,0,0
6,attempt,heart,purple,0,0,0
7,examine,,white,,,
8,examine,,purple,,,
9,attempt,orange4,white,0,1,1
10,attempt,green3,purple,1,1,0
11,attempt,diamond,white,0,0,0
12,examine,,blue,,,
13,attempt,pink,white,0,0,0
14,attempt,grey2,white,0,0,0
15,examine,,pink,,,
16,attempt,purple,white,0,0,0
17,attempt,blue,white,0,0,0
18,attempt,cloud,white,0,0,0
19,attempt,triangle,blue,0,0,0
20,attempt,orange4,white,1,1,0
21,attempt,yellow5,blue,0,1,1
22,attempt,yellow5,blue,0,1,1
23,attempt,blue,blue,0,0,0
24,attempt,pink,blue,0,0,0
25,attempt,yellow5,blue,0,1,1
26,attempt,purple,blue,0,0,0
27,attempt,yellow5,blue,1,1,0
